Titulo,Precio,Metros,Precio_m2,Ubicacion,Link,lat,lon
Casa en Venta en Temozon Norte,6800000.0,350.0,19428.57,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-4cd3228ee4a4-5438-198d4d5-992e-723e,21.065497288746176,-89.63410766571533
Casa en Venta en Komchen,13700000.0,331.0,41389.73,Mérida,https://www.lamudi.com.mx/detalle/41032-73-8f7195cc58e3-b2f-1946813-8e6e-7f7f,20.96676780953835,-89.6233131317314
Departamento en Venta en Temozon Norte,5718195.0,95.93,59608.0,Mérida,https://www.lamudi.com.mx/detalle/41032-73-10b14852edd6-ebaf-1977152-bf93-7f01,20.967252375030085,-89.62363382957032
Departamento en Venta en Temozon Norte,2335000.0,70.0,33357.14,Mérida,https://www.lamudi.com.mx/detalle/41032-73-69760c5b6c9a-4673-19594ec-b23f-70cb,20.96708737943815,-89.62368534079133
Casa en Venta en Cholul,8950000.0,345.0,25942.03,Cholul,https://www.lamudi.com.mx/detalle/41032-73-730ba0eb3c68-487f-19917b4-a364-7bc6,21.045242641438957,-89.5512922914493
Departamento en Venta en Temozon Norte,2686000.0,74.0,36297.3,Mérida,https://www.lamudi.com.mx/detalle/41032-73-4d9c71662920-195f-192e08f-8393-7881,20.96691445821628,-89.62418321594416
Casa en Venta en Komchen,9200000.0,435.75,21113.02,Mérida,https://www.lamudi.com.mx/detalle/41032-73-8910fdb55fb6-979d-19917b4-903b-7210,20.966693849057744,-89.6237670923584
Departamento en Venta en Pedregales de Tanlum,2290000.0,74.0,30945.95,Centro,https://www.lamudi.com.mx/detalle/41032-73-42fb0e5a3bfb-eb8-198824b-c019-7ea2,20.967850420108057,-89.62341310715394
Departamento en Venta en Villas La Hacienda,2490000.0,70.85,35144.67,Mérida,https://www.lamudi.com.mx/detalle/41032-73-457869bed3aa-2350-19516d7-af02-7375,20.967444869128382,-89.62372385344938
Departamento en Venta en Temozon Norte,3995000.0,156.0,25608.97,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-d8ba7243762f-8c0-194d417-8608-7dac,21.065992581682302,-89.63419969259567
Casa en Venta en Temozon Norte,5015000.0,210.0,23880.95,Mérida,https://www.lamudi.com.mx/detalle/41032-73-c346daa505a2-4ef1-199c6be-998e-7934,20.966987264652516,-89.62330049083431
